author,comment,cleaned_comment,normalized_comment,no_stopwords,tokenized_comment,filtered_comment,stemming_data,Sentiment
@langitke7620,"ALLAH HU AKBAAR...ALLAH MAHA BESAR..SEGALA APA YANG TERJADI DI LANGIT DAN DI BUMI ITU ADALAH KEHENDAK MU YAA ALLAH...DAN KAMI HANYALAH MAHKLUK MU YANG  BISA BERDO,A DAN BERHARAP UNTUK KEHIDUPAN YANG LEBIH BAIK LAGI NANTI.....AMIIN..AMIIN..AMIIN...YAA RABBAL ALLAMIN..",allah hu akbaarallah maha besarsegala apa yang terjadi di langit dan di bumi itu adalah kehendak mu yaa allahdan kami hanyalah mahkluk mu yang bisa berdoa dan berharap untuk kehidupan yang lebih baik lagi nantiamiinamiinamiinyaa rabbal allamin,allah hu akbaarallah maha besarsegala apa yang terjadi di langit dan di bumi itu adalah kehendak mu yaa allahdan kami hanyalah mahkluk mu yang bisa berdoa dan berharap untuk kehidupan yang lebih baik lagi nantiamiinamiinamiinyaa rabbal allamin,allah hu akbaarallah maha besarsegala langit bumi kehendak mu yaa allahdan mahkluk mu berdoa berharap kehidupan nantiamiinamiinamiinyaa rabbal allamin,"['allah', 'hu', 'akbaarallah', 'maha', 'besarsegala', 'langit', 'bumi', 'kehendak', 'mu', 'yaa', 'allahdan', 'mahkluk', 'mu', 'berdoa', 'berharap', 'kehidupan', 'nantiamiinamiinamiinyaa', 'rabbal', 'allamin']","['allah', 'hu', 'akbaarallah', 'besarsegala', 'langit', 'bumi', 'kehendak', 'yaa', 'allahdan', 'mahkluk', 'berdoa', 'berharap', 'kehidupan', 'nantiamiinamiinamiinyaa', 'rabbal', 'allamin']",allah hu akbaarallah besarsegala langit bumi hendak yaa allahdan mahkluk doa harap hidup nantiamiinamiinamiinyaa rabbal allamin,3
@vaanazn2769,Apa ada komen yg kgk pake nama tuhan?,apa ada komen yg kgk pake nama tuhan,apa ada komen yang kgk pakai nama tuhan,komen kgk pakai nama tuhan,"['komen', 'kgk', 'pakai', 'nama', 'tuhan']","['komen', 'kgk', 'pakai', 'nama', 'tuhan']",komen kgk pakai nama tuhan,2
@Fandi124,Mulai lah bertobat wahai kaum pembenci ulama dan para pendukung kezoliman,mulai lah bertobat wahai kaum pembenci ulama dan para pendukung kezoliman,mulai lah bertobat wahai kaum pembenci ulama dan para pendukung kezoliman,bertobat kaum pembenci ulama pendukung kezoliman,"['bertobat', 'kaum', 'pembenci', 'ulama', 'pendukung', 'kezoliman']","['bertobat', 'kaum', 'pembenci', 'ulama', 'pendukung', 'kezoliman']",tobat kaum benci ulama dukung kezoliman,3
@sohanahsonah9298,Ya Allah ampunilah dosa kami,ya allah ampunilah dosa kami,iya allah ampunilah dosa kami,iya allah ampunilah dosa,"['iya', 'allah', 'ampunilah', 'dosa']","['iya', 'allah', 'ampunilah']",iya allah ampun,3
@heriantoto6940,Semoga Allah melindungi kita semua..,semoga allah melindungi kita semua,semoga allah melindungi kita semua,semoga allah melindungi,"['semoga', 'allah', 'melindungi']","['semoga', 'allah', 'melindungi']",moga allah lindung,3
@rudiantopekanbaru,Waspada slalu..,waspada slalu,waspada selalu,waspada,['waspada'],['waspada'],waspada,3
@geraldparera2873,Wajar kalo di antisipasi...,wajar kalo di antisipasi,wajar kalau di antisipasi,wajar antisipasi,"['wajar', 'antisipasi']","['wajar', 'antisipasi']",wajar antisipasi,3
@bambangwahyudi6725,Bolak balik prediksi Megatrust nyata ZONK .<br>Klo megatrust trus Kiamat biar Tuhan yg mengatur Nya .,bolak balik prediksi megatrust nyata zonk brklo megatrust trus kiamat biar tuhan yg mengatur nya,bolak balik prediksi megatrust nyata bodoh brklo megatrust terus kiamat biar tuhan yang mengatur nya,bolak prediksi megatrust nyata bodoh brklo megatrust kiamat biar tuhan mengatur nya,"['bolak', 'prediksi', 'megatrust', 'nyata', 'bodoh', 'brklo', 'megatrust', 'kiamat', 'biar', 'tuhan', 'mengatur', 'nya']","['bolak', 'prediksi', 'megatrust', 'nyata', 'bodoh', 'brklo', 'megatrust', 'kiamat', 'biar', 'tuhan', 'mengatur', 'nya']",bolak prediksi megatrust nyata bodoh brklo megatrust kiamat biar tuhan atur nya,1
@hendryarr389,"Gk percaya gue ma BMKG,",gk percaya gue ma bmkg,tidak percaya saya sama bmkg,percaya bmkg,"['percaya', 'bmkg']","['percaya', 'bmkg']",percaya bmkg,1
@drimbax-zzdwi9212,Ibu Pertiwi marah,ibu pertiwi marah,ibu pertiwi marah,pertiwi marah,"['pertiwi', 'marah']","['pertiwi', 'marah']",pertiwi marah,1
@abizaralghifari5319,Terima keputusan Allah.,terima keputusan allah,terima keputusan allah,terima keputusan allah,"['terima', 'keputusan', 'allah']","['terima', 'keputusan', 'allah']",terima putus allah,3
@mohammadfakhrudin265,"BMKG prakiraan nya banyak yang meleset, bikin panik ora aja, makan gaji buta doang.",bmkg prakiraan nya banyak yang meleset bikin panik ora aja makan gaji buta doang,bmkg prakiraan nya banyak yang meleset bikin panik ora saja makan gaji buta saja,bmkg prakiraan nya meleset bikin panik ora makan gaji buta,"['bmkg', 'prakiraan', 'nya', 'meleset', 'bikin', 'panik', 'ora', 'makan', 'gaji', 'buta']","['bmkg', 'prakiraan', 'nya', 'meleset', 'bikin', 'panik', 'makan', 'gaji', 'buta']",bmkg prakira nya meleset bikin panik makan gaji buta,1
@dandiciburung3740,Amiiin,amiiin,amiiin,amiiin,['amiiin'],['amiiin'],amiiin,3
@emmaferonia7116,"Astaghfirullah.. Yaa ALLAH, lindungilah kami selalu dari musibah tsb, Aamiin Yaa Rabbal &#39;Aalamiin",astaghfirullah yaa allah lindungilah kami selalu dari musibah tsb aamiin yaa rabbal 39aalamiin,astaghfirullah yaa allah lindungilah kami selalu dari musibah tersebut amin yaa rabbal 39aalamiin,astaghfirullah yaa allah lindungilah musibah amin yaa rabbal 39aalamiin,"['astaghfirullah', 'yaa', 'allah', 'lindungilah', 'musibah', 'amin', 'yaa', 'rabbal', '39aalamiin']","['astaghfirullah', 'yaa', 'allah', 'lindungilah', 'musibah', 'yaa', 'rabbal', '39aalamiin']",astaghfirullah yaa allah lindung musibah yaa rabbal 39aalamiin,3
@muhamadnurafian7272,dari dahuluu jaman kiplik sdah ada wacana  gempa besar wkka,dari dahuluu jaman kiplik sdah ada wacana gempa besar wkka,dari dahuluu jaman kiplik sdah ada wacana gempa besar wkka,dahuluu jaman kiplik sdah wacana gempa wkka,"['dahuluu', 'jaman', 'kiplik', 'sdah', 'wacana', 'gempa', 'wkka']","['dahuluu', 'kiplik', 'sdah', 'wacana', 'gempa', 'wkka']",dahuluu kiplik sdah wacana gempa wkka,1
@idea_yahya,Semoga prediksinya tidak menjadi kenyataan ya Allah. Aamiin,semoga prediksinya tidak menjadi kenyataan ya allah aamiin,semoga prediksinya tidak menjadi kenyataan iya allah amin,semoga prediksinya kenyataan iya allah amin,"['semoga', 'prediksinya', 'kenyataan', 'iya', 'allah', 'amin']","['semoga', 'prediksinya', 'kenyataan', 'iya', 'allah']",moga prediksi nyata iya allah,3
@valeakg_3707,Asiikkkk,asiikkkk,asiikkkk,asiikkkk,['asiikkkk'],['asiikkkk'],asiikkkk,2
@desieka4037,"Karena sudah ada peringatan baiknya prepare semuanya. Siapkan emergency bagpack dan membuat rencana evakuasi mandiri jd seluruh keluarga satu suara, in case gempa terjadi semuanya sudah tau harus ngapain. Toh ga selalu di rumah, harus bikin rencana kalau pas ada salah satu anggota rumah yg diluar, harus berbuat apa.<br>Umur orang ga ada yang tau tapi ga ada salahnya untuk merencanakan semuanya.",karena sudah ada peringatan baiknya prepare semuanya siapkan emergency bagpack dan membuat rencana evakuasi mandiri jd seluruh keluarga satu suara in case gempa terjadi semuanya sudah tau harus ngapain toh ga selalu di rumah harus bikin rencana kalau pas ada salah satu anggota rumah yg diluar harus berbuat apabrumur orang ga ada yang tau tapi ga ada salahnya untuk merencanakan semuanya,karena sudah ada peringatan baiknya prepare semuanya siapkan emergency bagpack dan membuat rencana evakuasi mandiri jadi seluruh keluarga satu suara in case gempa terjadi semuanya sudah tahu harus sedang apa toh tidak selalu di rumah harus bikin rencana kalau pas ada salah satu anggota rumah yang diluar harus berbuat apabrumur orang tidak ada yang tahu tapi tidak ada salahnya untuk merencanakan semuanya,peringatan baiknya prepare siapkan emergency bagpack rencana evakuasi mandiri keluarga suara in case gempa rumah bikin rencana pas salah anggota rumah diluar berbuat apabrumur orang salahnya merencanakan,"['peringatan', 'baiknya', 'prepare', 'siapkan', 'emergency', 'bagpack', 'rencana', 'evakuasi', 'mandiri', 'keluarga', 'suara', 'in', 'case', 'gempa', 'rumah', 'bikin', 'rencana', 'pas', 'salah', 'anggota', 'rumah', 'diluar', 'berbuat', 'apabrumur', 'orang', 'salahnya', 'merencanakan']","['peringatan', 'baiknya', 'siapkan', 'bagpack', 'rencana', 'evakuasi', 'mandiri', 'keluarga', 'suara', 'gempa', 'rumah', 'bikin', 'rencana', 'pas', 'salah', 'anggota', 'rumah', 'diluar', 'berbuat', 'apabrumur', 'salahnya', 'merencanakan']",ingat baik siap bagpack rencana evakuasi mandiri keluarga suara gempa rumah bikin rencana pas salah anggota rumah luar buat apabrumur salah rencana,3
@sherylandfamily5619,"Itu yg sudah saya antisipasi untuk keluarga kecil saya,Sudah saya siapkan tas darurat  dan dokumen penting sudah masuk kedalam satu tas emergency dan perlengkapan lainnya.Jadi kalau suatu saat terjadi beneran (Entah kapan).Sudah dipersiapkan sebelumnya.",itu yg sudah saya antisipasi untuk keluarga kecil sayasudah saya siapkan tas darurat dan dokumen penting sudah masuk kedalam satu tas emergency dan perlengkapan lainnyajadi kalau suatu saat terjadi beneran entah kapansudah dipersiapkan sebelumnya,itu yang sudah saya antisipasi untuk keluarga kecil sayasudah saya siapkan tas darurat dan dokumen penting sudah masuk kedalam satu tas emergency dan perlengkapan lainnyajadi kalau suatu saat terjadi beneran entah kapansudah dipersiapkan sebelumnya,antisipasi keluarga sayasudah siapkan tas darurat dokumen masuk kedalam tas emergency perlengkapan lainnyajadi beneran kapansudah dipersiapkan,"['antisipasi', 'keluarga', 'sayasudah', 'siapkan', 'tas', 'darurat', 'dokumen', 'masuk', 'kedalam', 'tas', 'emergency', 'perlengkapan', 'lainnyajadi', 'beneran', 'kapansudah', 'dipersiapkan']","['antisipasi', 'keluarga', 'sayasudah', 'siapkan', 'tas', 'darurat', 'dokumen', 'masuk', 'kedalam', 'tas', 'perlengkapan', 'lainnyajadi', 'beneran', 'kapansudah', 'dipersiapkan']",antisipasi keluarga sayasudah siap tas darurat dokumen masuk dalam tas lengkap lainnyajadi beneran kapansudah siap,3
@desieka4037,"@@sherylandfamily5619 sip mas, semoga diberikan keselamatan semuanya 👍bencana bs datang kpn aja, yg penting sdh berupaya untuk antisipasi",sherylandfamily5619 sip mas semoga diberikan keselamatan semuanya bencana bs datang kpn aja yg penting sdh berupaya untuk antisipasi,sherylandfamily5619 ok mas semoga diberikan keselamatan semuanya bencana bisa datang kapan saja yang penting sudah berupaya untuk antisipasi,sherylandfamily5619 ok mas semoga keselamatan bencana berupaya antisipasi,"['sherylandfamily5619', 'ok', 'mas', 'semoga', 'keselamatan', 'bencana', 'berupaya', 'antisipasi']","['sherylandfamily5619', 'ok', 'semoga', 'keselamatan', 'bencana', 'berupaya', 'antisipasi']",sherylandfamily5619 ok moga selamat bencana upaya antisipasi,3
@ForYourPage00,"Betul. Sudah pringatan gempa cianjur, kyaknya yg lain udh bsa prepare jaga2",betul sudah pringatan gempa cianjur kyaknya yg lain udh bsa prepare jaga2,betul sudah pringatan gempa cianjur kyaknya yang lain sudah bisa prepare jaga2,pringatan gempa cianjur kyaknya prepare jaga2,"['pringatan', 'gempa', 'cianjur', 'kyaknya', 'prepare', 'jaga2']","['pringatan', 'gempa', 'cianjur', 'kyaknya', 'jaga2']",pringatan gempa cianjur kyaknya jaga2,3
