author,comment,likes,published_at,is_reply,cleaned_comment,normalized_comment,no_stopwords,tokenized_comment,filtered_comment,stemming_data,Sentiment
@yangmuliamohammadbinsalman1839,DI PERSIAPKAN TEKNOLOGI NYA SUPAYA TERDETEKSI &quot; JANGAN SAMPAI KECOLONGAN 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣&quot;# BMKG # BMKG,1,2022-02-19T05:57:50Z,FALSE,di persiapkan teknologi nya supaya terdeteksi quot jangan sampai kecolongan quot bmkg bmkg,di persiapkan teknologi nya supaya terdeteksi dan quot ; jangan sampai kecolongan 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 dan quot ; # bmkg # bmkg,persiapkan teknologi nya terdeteksi quot ; kecolongan 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 quot ; # bmkg # bmkg,"['persiapkan', 'teknologi', 'nya', 'terdeteksi', 'quot', ';', 'kecolongan', '🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣', 'quot', ';', '#', 'bmkg', '#', 'bmkg']","['persiapkan', 'teknologi', 'nya', 'terdeteksi', 'quot', ';', 'kecolongan', '🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣', 'quot', ';', '#', 'bmkg', '#', 'bmkg']",siap teknologi nya deteksi quot  colong  quot   bmkg  bmkg,3
@andreastw3638,ra percoyo.... nga da videonya hoax.... 😂,0,2022-02-11T15:00:53Z,FALSE,ra percoyo nga da videonya hoax,engga percoyo .... nga da videonya isu bohong .... 😂,engga percoyo .... nga da videonya isu bohong .... 😂,"['engga', 'percoyo', '....', 'nga', 'da', 'videonya', 'isu', 'bohong', '....', '😂']","['engga', 'percoyo', '....', 'nga', 'da', 'videonya', 'isu', 'bohong', '....', '😂']",engga percoyo  nga da video isu bohong,1
@zainabmattri7137,"Kalo gempa memang musibah dari alloh,tapi kalo covid bikinan pemerintahan",0,2022-02-10T19:16:45Z,FALSE,kalo gempa memang musibah dari allohtapi kalo covid bikinan pemerintahan,"kalau gempa memang musibah dari alloh , tapi kalau covid bikinan pemerintahan","gempa musibah alloh , covid bikinan pemerintahan","['gempa', 'musibah', 'alloh', ',', 'covid', 'bikinan', 'pemerintahan']","['gempa', 'musibah', 'alloh', ',', 'covid', 'bikinan', 'pemerintahan']",gempa musibah alloh  covid bikin perintah,1
@blueeday4800,Apakah beneran akan terjadi pulau Jawa terbelah menjadi 2,0,2022-02-10T09:55:06Z,FALSE,apakah beneran akan terjadi pulau jawa terbelah menjadi 2,apakah beneran akan terjadi pulau jawa terbelah menjadi 2,beneran pulau jawa terbelah 2,"['beneran', 'pulau', 'jawa', 'terbelah', '2']","['beneran', 'pulau', 'jawa', 'terbelah', '2']",beneran pulau jawa belah 2,2
@user-jh5bk6sw9u,"kota remaja gada yg perawan, tempat dosa semua",0,2022-02-05T06:34:37Z,FALSE,kota remaja gada yg perawan tempat dosa semua,"kota remaja gada yang perawan , tempat dosa semua","kota remaja gada perawan , dosa","['kota', 'remaja', 'gada', 'perawan', ',', 'dosa']","['kota', 'remaja', 'gada', 'perawan', ',', 'dosa']",kota remaja gada perawan  dosa,1
@user-jh5bk6sw9u,wkkwkw banyak tempat dugem sih jadi takut mati.,0,2022-02-05T06:33:56Z,FALSE,wkkwkw banyak tempat dugem sih jadi takut mati,wkkwkw banyak tempat dunia gemerlap sih jadi takut mati .,wkkwkw dunia gemerlap sih takut mati .,"['wkkwkw', 'dunia', 'gemerlap', 'sih', 'takut', 'mati', '.']","['wkkwkw', 'dunia', 'gemerlap', 'sih', 'takut', 'mati', '.']",wkkwkw dunia gemerlap sih takut mati,1
@GamingTv-uu5mj,"Hari ini tanggal 04-02-2022 gempa terjadi lagi,semoga kita semua baik baik saja... Aamiin.....",0,2022-02-04T17:47:12Z,FALSE,hari ini tanggal 04022022 gempa terjadi lagisemoga kita semua baik baik saja aamiin,"hari ini tanggal 04-02-2022 gempa terjadi lagi , semoga kita semua baik baik saja ... amin .....","tanggal 04-02-2022 gempa , semoga ... amin .....","['tanggal', '04-02-2022', 'gempa', ',', 'semoga', '...', 'amin', '.....']","['tanggal', '04-02-2022', 'gempa', ',', 'semoga', '...', 'amin', '.....']",tanggal 04-02-2022 gempa  moga  amin,3
@muliyana6448,"Bmkg tau akan ada gempa megatrush seharusnya pemerintah prepare dong agar supaya bisa meminimalisir kerusakan ataupun korban, klo warga doang d peringatin ya kita bisa apa, hrsnya pemerintah bisa belajar dr jepang krn tau negaranya negara rawan gempa pemerintahnya prepare bgd buat minimalisir kerusakan atau pun korban",0,2022-01-25T21:59:42Z,FALSE,bmkg tau akan ada gempa megatrush seharusnya pemerintah prepare dong agar supaya bisa meminimalisir kerusakan ataupun korban klo warga doang d peringatin ya kita bisa apa hrsnya pemerintah bisa belajar dr jepang krn tau negaranya negara rawan gempa pemerintahnya prepare bgd buat minimalisir kerusakan atau pun korban,"bmkg tahu akan ada gempa megatrush seharusnya pemerintah prepare dong agar supaya bisa meminimalisir kerusakan ataupun korban , kalau warga saja di peringatin iya kita bisa apa , hrsnya pemerintah bisa belajar dari jepang karena tahu negaranya negara rawan gempa pemerintahnya prepare banget buat minimalisir kerusakan atau pun korban","bmkg gempa megatrush pemerintah prepare meminimalisir kerusakan korban , warga peringatin iya , hrsnya pemerintah belajar jepang negaranya negara rawan gempa pemerintahnya prepare banget minimalisir kerusakan korban","['bmkg', 'gempa', 'megatrush', 'pemerintah', 'prepare', 'meminimalisir', 'kerusakan', 'korban', ',', 'warga', 'peringatin', 'iya', ',', 'hrsnya', 'pemerintah', 'belajar', 'jepang', 'negaranya', 'negara', 'rawan', 'gempa', 'pemerintahnya', 'prepare', 'banget', 'minimalisir', 'kerusakan', 'korban']","['bmkg', 'gempa', 'megatrush', 'pemerintah', 'prepare', 'meminimalisir', 'kerusakan', 'korban', ',', 'warga', 'peringatin', 'iya', ',', 'hrsnya', 'pemerintah', 'belajar', 'jepang', 'negaranya', 'negara', 'rawan', 'gempa', 'pemerintahnya', 'prepare', 'banget', 'minimalisir', 'kerusakan', 'korban']",bmkg gempa megatrush perintah prepare meminimalisir rusa korban  warga peringatin iya  hrsnya perintah ajar jepang negara negara rawan gempa perintah prepare banget minimalisir rusa korban,1
@daffanzhidan,Penyebab gempa = banyak orang buat dosa,0,2022-01-25T18:23:59Z,FALSE,penyebab gempa banyak orang buat dosa,penyebab gempa = banyak orang buat dosa,penyebab gempa = orang dosa,"['penyebab', 'gempa', '=', 'orang', 'dosa']","['penyebab', 'gempa', '=', 'orang', 'dosa']",sebab gempa  orang dosa,1
@al-tsighanjuury-7113,framing nakutin ala media-media umum ini boleh juga. hati hati laknat Allah untuk kalian. menakuti orang muslim dilaknat Allah.,0,2022-01-25T01:19:37Z,FALSE,framing nakutin ala mediamedia umum ini boleh juga hati hati laknat allah untuk kalian menakuti orang muslim dilaknat allah,framing nakutin ala media-media umum ini boleh juga . hati hati laknat allah untuk kalian . menakuti orang muslim dilaknat allah .,framing nakutin ala media-media . hati hati laknat allah . menakuti orang muslim dilaknat allah .,"['framing', 'nakutin', 'ala', 'media-media', '.', 'hati', 'hati', 'laknat', 'allah', '.', 'menakuti', 'orang', 'muslim', 'dilaknat', 'allah', '.']","['framing', 'nakutin', 'ala', 'media-media', '.', 'hati', 'hati', 'laknat', 'allah', '.', 'menakuti', 'orang', 'muslim', 'dilaknat', 'allah', '.']",framing nakutin ala media  hati hati laknat allah  takut orang muslim laknat allah,1
@Iqertwyegcje,"Blm kelar ngomong ibunya, udh dipotong aja",0,2022-01-24T16:04:33Z,FALSE,blm kelar ngomong ibunya udh dipotong aja,"belum kelar bicara ibunya , sudah dipotong saja","kelar bicara ibunya , dipotong","['kelar', 'bicara', 'ibunya', ',', 'dipotong']","['kelar', 'bicara', 'ibunya', ',', 'dipotong']",kelar bicara ibu  potong,1
@yakamuz867,Innalilahi wa innailaihi rojiun,0,2022-01-24T14:57:42Z,FALSE,innalilahi wa innailaihi rojiun,innalilahi wa innailaihi rojiun,innalilahi wa innailaihi rojiun,"['innalilahi', 'wa', 'innailaihi', 'rojiun']","['innalilahi', 'wa', 'innailaihi', 'rojiun']",innalilahi wa innailaihi rojiun,3
@jablaym4nt4p,Udah pas banget ibukota di Pindah.,0,2022-01-24T13:12:06Z,FALSE,udah pas banget ibukota di pindah,sudah pas banget ibukota di pindah .,pas banget ibukota pindah .,"['pas', 'banget', 'ibukota', 'pindah', '.']","['pas', 'banget', 'ibukota', 'pindah', '.']",pas banget ibukota pindah,3
@zhafiranisha,Ini nama penyiar nya siapa😭,0,2022-01-24T02:44:49Z,FALSE,ini nama penyiar nya siapa,ini nama penyiar nya siapa😭,nama penyiar nya siapa😭,"['nama', 'penyiar', 'nya', 'siapa😭']","['nama', 'penyiar', 'nya', 'siapa😭']",nama siar nya siapa,2
@syamsiahsag3415,"Sdh saatnya kt bertobat, krn.. Tdk satupun kerusakan dimuka bumi ini kec krn ulah manusia. (peringatan Allah dlm al quran) ..",0,2022-01-23T17:01:19Z,FALSE,sdh saatnya kt bertobat krn tdk satupun kerusakan dimuka bumi ini kec krn ulah manusia peringatan allah dlm al quran,"sudah saatnya kita bertobat , karena .. tidak satupun kerusakan dimuka bumi ini kecamatan karena ulah manusia . ( peringatan allah dalam al quran ) ..","bertobat , .. satupun kerusakan dimuka bumi kecamatan ulah manusia . ( peringatan allah al quran ) ..","['bertobat', ',', '..', 'satupun', 'kerusakan', 'dimuka', 'bumi', 'kecamatan', 'ulah', 'manusia', '.', '(', 'peringatan', 'allah', 'al', 'quran', ')', '..']","['bertobat', ',', '..', 'satupun', 'kerusakan', 'dimuka', 'bumi', 'kecamatan', 'ulah', 'manusia', '.', '(', 'peringatan', 'allah', 'al', 'quran', ')', '..']",tobat   satu rusa muka bumi camat ulah manusia   ingat allah al quran,3
@maksemi5022,Hoaxxx,0,2022-01-23T11:33:27Z,FALSE,hoaxxx,hoaxxx,hoaxxx,['hoaxxx'],['hoaxxx'],hoaxxx,1
@alanbaelach7473,Mungkin ini balsan nya karna ppkm di saat umat islam mau ngerayain idul fitr/adha makanya terjadi bencana,0,2022-01-23T09:02:42Z,FALSE,mungkin ini balsan nya karna ppkm di saat umat islam mau ngerayain idul fitradha makanya terjadi bencana,mungkin ini balsan nya karena ppkm di saat umat islam mau ngerayain idul fitr/adha makanya terjadi bencana,balsan nya ppkm umat islam ngerayain idul fitr/adha bencana,"['balsan', 'nya', 'ppkm', 'umat', 'islam', 'ngerayain', 'idul', 'fitr/adha', 'bencana']","['balsan', 'nya', 'ppkm', 'umat', 'islam', 'ngerayain', 'idul', 'fitr/adha', 'bencana']",balsan nya ppkm umat islam ngerayain idul fitr adha bencana,1
@gembulxd8929,Cot,0,2022-01-24T16:26:55Z,TRUE,cot,cot,cot,['cot'],['cot'],cot,1
@herusetiawan5949,"Yg jls siap2 menghadapi Kiamat kecil,dipulau Jawa dan Lampung,walaupun kita tak tau kapan terjadinya,,",0,2022-01-23T04:19:05Z,FALSE,yg jls siap2 menghadapi kiamat kecildipulau jawa dan lampungwalaupun kita tak tau kapan terjadinya,"yang jls siap-siap menghadapi kiamat kecil , dipulau jawa dan lampung , walaupun kita tidak tahu kapan terjadinya , ,","jls siap-siap menghadapi kiamat , dipulau jawa lampung , , ,","['jls', 'siap-siap', 'menghadapi', 'kiamat', ',', 'dipulau', 'jawa', 'lampung', ',', ',', ',']","['jls', 'siap-siap', 'menghadapi', 'kiamat', ',', 'dipulau', 'jawa', 'lampung', ',', ',', ',']",jls siap hadap kiamat  pulau jawa lampung,3
@goatmilenium2097,"mana gempa, tak ada",0,2022-01-22T19:55:10Z,FALSE,mana gempa tak ada,"mana gempa , tidak ada","gempa ,","['gempa', ',']","['gempa', ',']",gempa,1
@langitke7620,"ALLAH HU AKBAAR...ALLAH MAHA BESAR..SEGALA APA YANG TERJADI DI LANGIT DAN DI BUMI ITU ADALAH KEHENDAK MU YAA ALLAH...DAN KAMI HANYALAH MAHKLUK MU YANG  BISA BERDO,A DAN BERHARAP UNTUK KEHIDUPAN YANG LEBIH BAIK LAGI NANTI.....AMIIN..AMIIN..AMIIN...YAA RABBAL ALLAMIN..",0,2022-01-22T18:34:33Z,FALSE,allah hu akbaarallah maha besarsegala apa yang terjadi di langit dan di bumi itu adalah kehendak mu yaa allahdan kami hanyalah mahkluk mu yang bisa berdoa dan berharap untuk kehidupan yang lebih baik lagi nantiamiinamiinamiinyaa rabbal allamin,"allah hu akbaar ... allah maha besar .. segala apa yang terjadi di langit dan di bumi itu adalah kehendak mu yaa allah ... dan kami hanyalah mahkluk mu yang bisa berdo , a dan berharap untuk kehidupan yang lebih baik lagi nanti ..... amiin .. amiin .. amiin ... yaa rabbal allamin ..","allah hu akbaar ... allah maha .. langit bumi kehendak mu yaa allah ... mahkluk mu berdo , a berharap kehidupan ..... amiin .. amiin .. amiin ... yaa rabbal allamin ..","['allah', 'hu', 'akbaar', '...', 'allah', 'maha', '..', 'langit', 'bumi', 'kehendak', 'mu', 'yaa', 'allah', '...', 'mahkluk', 'mu', 'berdo', ',', 'a', 'berharap', 'kehidupan', '.....', 'amiin', '..', 'amiin', '..', 'amiin', '...', 'yaa', 'rabbal', 'allamin', '..']","['allah', 'hu', 'akbaar', '...', 'allah', 'maha', '..', 'langit', 'bumi', 'kehendak', 'mu', 'yaa', 'allah', '...', 'mahkluk', 'mu', 'berdo', ',', 'a', 'berharap', 'kehidupan', '.....', 'amiin', '..', 'amiin', '..', 'amiin', '...', 'yaa', 'rabbal', 'allamin', '..']",allah hu akbaar  allah maha  langit bumi hendak mu yaa allah  mahkluk mu berdo  a harap hidup  amiin  amiin  amiin  yaa rabbal allamin,3
@vaanazn2769,Apa ada komen yg kgk pake nama tuhan?,0,2022-01-22T15:06:57Z,FALSE,apa ada komen yg kgk pake nama tuhan,apa ada komen yang kgk pakai nama tuhan ?,komen kgk pakai nama tuhan ?,"['komen', 'kgk', 'pakai', 'nama', 'tuhan', '?']","['komen', 'kgk', 'pakai', 'nama', 'tuhan', '?']",komen kgk pakai nama tuhan,2
@Fandi124,Mulai lah bertobat wahai kaum pembenci ulama dan para pendukung kezoliman,0,2022-01-22T15:00:15Z,FALSE,mulai lah bertobat wahai kaum pembenci ulama dan para pendukung kezoliman,mulai lah bertobat wahai kaum pembenci ulama dan para pendukung kezoliman,bertobat kaum pembenci ulama pendukung kezoliman,"['bertobat', 'kaum', 'pembenci', 'ulama', 'pendukung', 'kezoliman']","['bertobat', 'kaum', 'pembenci', 'ulama', 'pendukung', 'kezoliman']",tobat kaum benci ulama dukung kezoliman,3
@sohanahsonah9298,Ya Allah ampunilah dosa kami,1,2022-01-22T14:16:40Z,FALSE,ya allah ampunilah dosa kami,iya allah ampunilah dosa kami,iya allah ampunilah dosa,"['iya', 'allah', 'ampunilah', 'dosa']","['iya', 'allah', 'ampunilah', 'dosa']",iya allah ampun dosa,3
@heriantoto6940,Semoga Allah melindungi kita semua..,0,2022-01-22T13:39:51Z,FALSE,semoga allah melindungi kita semua,semoga allah melindungi kita semua ..,semoga allah melindungi ..,"['semoga', 'allah', 'melindungi', '..']","['semoga', 'allah', 'melindungi', '..']",moga allah lindung,3
@rudiantopekanbaru,Waspada slalu..,0,2022-01-22T13:26:24Z,FALSE,waspada slalu,waspada selalu ..,waspada ..,"['waspada', '..']","['waspada', '..']",waspada,3
@geraldparera2873,Wajar kalo di antisipasi...,0,2022-01-22T02:38:02Z,FALSE,wajar kalo di antisipasi,wajar kalau di antisipasi ...,wajar antisipasi ...,"['wajar', 'antisipasi', '...']","['wajar', 'antisipasi', '...']",wajar antisipasi,3
@bambangwahyudi6725,Bolak balik prediksi Megatrust nyata ZONK .<br>Klo megatrust trus Kiamat biar Tuhan yg mengatur Nya .,0,2022-01-22T01:52:39Z,FALSE,bolak balik prediksi megatrust nyata zonk brklo megatrust trus kiamat biar tuhan yg mengatur nya,bolak balik prediksi megatrust nyata bodoh . < baru > kalau megatrust terus kiamat biar tuhan yang mengatur nya .,bolak prediksi megatrust nyata bodoh . < > megatrust kiamat biar tuhan mengatur nya .,"['bolak', 'prediksi', 'megatrust', 'nyata', 'bodoh', '.', '<', '>', 'megatrust', 'kiamat', 'biar', 'tuhan', 'mengatur', 'nya', '.']","['bolak', 'prediksi', 'megatrust', 'nyata', 'bodoh', '.', '<', '>', 'megatrust', 'kiamat', 'biar', 'tuhan', 'mengatur', 'nya', '.']",bolak prediksi megatrust nyata bodoh    megatrust kiamat biar tuhan atur nya,1
@hendryarr389,"Gk percaya gue ma BMKG,",0,2022-01-21T17:35:07Z,FALSE,gk percaya gue ma bmkg,"tidak percaya saya sama bmkg ,","percaya bmkg ,","['percaya', 'bmkg', ',']","['percaya', 'bmkg', ',']",percaya bmkg,1
@drimbax-zzdwi9212,Ibu Pertiwi marah,0,2022-01-21T17:23:50Z,FALSE,ibu pertiwi marah,ibu pertiwi marah,pertiwi marah,"['pertiwi', 'marah']","['pertiwi', 'marah']",pertiwi marah,1
@abizaralghifari5319,Terima keputusan Allah.,1,2022-01-21T14:55:53Z,FALSE,terima keputusan allah,terima keputusan allah .,terima keputusan allah .,"['terima', 'keputusan', 'allah', '.']","['terima', 'keputusan', 'allah', '.']",terima putus allah,3
@mohammadfakhrudin265,"BMKG prakiraan nya banyak yang meleset, bikin panik ora aja, makan gaji buta doang.",0,2022-01-21T14:41:47Z,FALSE,bmkg prakiraan nya banyak yang meleset bikin panik ora aja makan gaji buta doang,"bmkg prakiraan nya banyak yang meleset , bikin panik ora saja , makan gaji buta saja .","bmkg prakiraan nya meleset , bikin panik ora , makan gaji buta .","['bmkg', 'prakiraan', 'nya', 'meleset', ',', 'bikin', 'panik', 'ora', ',', 'makan', 'gaji', 'buta', '.']","['bmkg', 'prakiraan', 'nya', 'meleset', ',', 'bikin', 'panik', 'ora', ',', 'makan', 'gaji', 'buta', '.']",bmkg prakira nya meleset  bikin panik ora  makan gaji buta,1
@dandiciburung3740,Amiiin,0,2022-01-21T14:02:29Z,FALSE,amiiin,amiiin,amiiin,['amiiin'],['amiiin'],amiiin,3
@emmaferonia7116,"Astaghfirullah.. Yaa ALLAH, lindungilah kami selalu dari musibah tsb, Aamiin Yaa Rabbal &#39;Aalamiin",0,2022-01-21T13:13:46Z,FALSE,astaghfirullah yaa allah lindungilah kami selalu dari musibah tsb aamiin yaa rabbal 39aalamiin,"astaghfirullah .. yaa allah , lindungilah kami selalu dari musibah tersebut , amin yaa rabbal dan # 39 ; aalamiin","astaghfirullah .. yaa allah , lindungilah musibah , amin yaa rabbal # 39 ; aalamiin","['astaghfirullah', '..', 'yaa', 'allah', ',', 'lindungilah', 'musibah', ',', 'amin', 'yaa', 'rabbal', '#', '39', ';', 'aalamiin']","['astaghfirullah', '..', 'yaa', 'allah', ',', 'lindungilah', 'musibah', ',', 'amin', 'yaa', 'rabbal', '#', '39', ';', 'aalamiin']",astaghfirullah  yaa allah  lindung musibah  amin yaa rabbal  39  aalamiin,3
@muhamadnurafian7272,dari dahuluu jaman kiplik sdah ada wacana  gempa besar wkka,0,2022-01-21T12:42:49Z,FALSE,dari dahuluu jaman kiplik sdah ada wacana gempa besar wkka,dari dahuluu jaman kiplik sdah ada wacana gempa besar wkka,dahuluu jaman kiplik sdah wacana gempa wkka,"['dahuluu', 'jaman', 'kiplik', 'sdah', 'wacana', 'gempa', 'wkka']","['dahuluu', 'jaman', 'kiplik', 'sdah', 'wacana', 'gempa', 'wkka']",dahuluu jaman kiplik sdah wacana gempa wkka,1
@idea_yahya,Semoga prediksinya tidak menjadi kenyataan ya Allah. Aamiin,0,2022-01-21T10:58:21Z,FALSE,semoga prediksinya tidak menjadi kenyataan ya allah aamiin,semoga prediksinya tidak menjadi kenyataan iya allah . amin,semoga prediksinya kenyataan iya allah . amin,"['semoga', 'prediksinya', 'kenyataan', 'iya', 'allah', '.', 'amin']","['semoga', 'prediksinya', 'kenyataan', 'iya', 'allah', '.', 'amin']",moga prediksi nyata iya allah  amin,3
@valeakg_3707,Asiikkkk,0,2022-01-21T09:57:29Z,FALSE,asiikkkk,asiikkkk,asiikkkk,['asiikkkk'],['asiikkkk'],asiikkkk,2
